Rank,Dataset,Gene,Type,Outgoing_Strength,Outgoing_Strength_Std,Top5_Outgoing_Targets
60,Kameneva,GAL,Gene,8.568,3.843,ANXA2 (+0.56); TIMP3 (-0.47); PRPH (+0.33); SCG2 (-0.33); FOS (-0.31)
61,Kameneva,EDNRB,Gene,8.336,2.475,MDK (-0.39); HMGN2 (-0.39); RPS2 (-0.33); RGS5 (-0.31); B2M (-0.27)
62,Kameneva,VCAN,Gene,8.293,5.561,MAP1B (-0.74); RPL34 (-0.72); UCHL1 (-0.39); BASP1 (-0.38); GAP43 (-0.30)
63,Kameneva,CNTN1,Gene,7.937,3.91,EIF4A2 (+0.57); CHGB (+0.44); NPY (+0.43); TH (+0.40); PCSK1N (+0.39)
64,Kameneva,CRYAB,Gene,7.907,2.586,RGS4 (-0.45); RAMP1 (-0.39); GAP43 (-0.34); CHGA (-0.32); C4orf48 (-0.29)
65,Kameneva,APOE,Gene,7.864,2.07,RPS2 (-0.48); VIM (-0.35); ATP5F1E (-0.33); RAMP1 (+0.31); PPIA (-0.29)
66,Kameneva,PRPH,Gene,7.718,2.158,HMGN2 (-0.76); FOS (-0.71); METRN (-0.56); RAMP1 (-0.53); CARTPT (-0.47)
67,Kameneva,MPZ,Gene,7.641,3.778,HAND2-AS1 (-0.49); MDK (-0.40); GAL (-0.39); CD24 (-0.31); OLFML2A (+0.31)
68,Kameneva,RGS4,Gene,7.141,4.029,DBH (+0.73); PCSK1N (+0.68); EEF1A2 (+0.56); RGS5 (+0.49); CNTN1 (+0.34)
69,Kameneva,S100A10,Gene,7.141,1.727,VIM (+0.72); RPL12 (+0.55); RTN1 (-0.40); PTPRZ1 (-0.38); PLP1 (-0.34)
70,Kameneva,COL1A2,Gene,6.969,1.632,STMN2 (-0.42); SPARC (+0.38); PLP1 (+0.37); PCSK1N (-0.37); CD24 (-0.26)
71,Kameneva,EEF2,Gene,6.96,3.015,POSTN (+0.65); PTPRZ1 (+0.47); PLP1 (+0.46); COL5A2 (+0.38); COL18A1 (+0.36)
72,Kameneva,IFITM3,Gene,6.941,1.537,VIM (-0.34); HNRNPA1 (-0.27); GAL (-0.26); ZEB2 (-0.23); S100A10 (-0.22)
73,Kameneva,TIMP3,Gene,6.873,0.804,OLFML2A (+0.45); ITM2B (+0.33); COL5A2 (+0.31); PLP1 (+0.26); ZEB2 (+0.26)
74,Kameneva,S100B,Gene,6.866,2.592,NRXN1 (-0.46); POSTN (-0.42); RPS29 (+0.39); VIM (+0.33); VCAN (-0.31)
75,Kameneva,LGALS1,Gene,6.721,1.169,RAMP1 (-0.34); COL18A1 (+0.34); VIM (+0.29); MDK (-0.25); B2M (+0.25)
76,Kameneva,ACTG1,Gene,6.416,4.368,HMGN2 (-0.89); STMN2 (-0.61); HMGB2 (-0.55); CNTN1 (-0.44); CD24 (-0.35)
77,Kameneva,METRN,Gene,6.152,2.729,PLP1 (-0.45); PHOX2A (-0.43); SPARC (-0.30); QKI (-0.28); COL1A1 (-0.22)
78,Kameneva,B2M,Gene,5.998,0.554,IFITM3 (+0.48); HMGB2 (+0.35); GAL (+0.33); EEF1A2 (-0.26); SCG2 (-0.26)
79,Kameneva,RPL41,Gene,5.773,2.905,HNRNPA1 (-0.40); RTN1 (-0.39); OLFML2A (-0.33); S100A10 (-0.31); SPARC (-0.30)
80,Kameneva,NEFL,Gene,5.681,1.614,PTN (-0.59); B2M (-0.57); PNMT (-0.51); HMGN2 (-0.51); CARTPT (-0.43)
81,Kameneva,GAPDH,Gene,5.29,3.767,BEX1 (-0.49); CNTN1 (-0.49); STMN2 (-0.46); PCSK1N (-0.37); PTMA (+0.33)
82,Kameneva,C4orf48,Gene,5.154,2.0,HMGB2 (-0.48); CRYAB (+0.38); CHGA (+0.34); HTATSF1 (+0.27); UCHL1 (+0.22)
83,Kameneva,EEF1A2,Gene,5.135,2.361,EEF2 (+0.52); UCHL1 (+0.37); EIF4A2 (+0.37); GAP43 (-0.32); CARTPT (-0.28)
84,Kameneva,YBX1,Gene,4.87,1.506,ATP5F1E (+0.55); PPIA (+0.54); PTMA (+0.48); GAPDH (+0.24); IGFBP2 (+0.22)
85,Kameneva,NPY,Gene,4.701,1.882,PHOX2A (+0.38); PTN (-0.34); CD24 (+0.30); CHGA (+0.25); MAP1B (+0.23)
86,Kameneva,S100A6,Gene,4.213,1.309,PHOX2A (+0.30); DBH (-0.27); RGS5 (-0.25); SCG2 (-0.21); TH (-0.17)
87,Kameneva,RPS4X,Gene,3.512,3.332,GAP43 (-0.88); RGS5 (-0.60); MAP1B (-0.33); RGS4 (-0.26); BASP1 (-0.26)
88,Kameneva,IGFBP2,Gene,3.355,0.377,STMN2 (-0.33); PTN (+0.24); ACTG1 (-0.17); RAMP1 (+0.17); APOE (+0.17)
89,Kameneva,RPL34,Gene,3.328,2.194,IFITM3 (-0.66); MAP1B (-0.40); MDK (-0.39); MEG3 (+0.35); POSTN (-0.27)
90,Kameneva,RPS2,Gene,3.279,3.59,GAL (-0.74); PHOX2A (-0.44); BASP1 (-0.22); RTN1 (-0.21); COL18A1 (-0.19)
91,Kameneva,BTF3,Gene,3.262,2.263,POSTN (-0.48); ALDH1A1 (-0.26); TPM1 (-0.24); GAL (-0.23); COL1A2 (-0.16)
92,Kameneva,HNRNPA1,Gene,3.227,1.893,PHOX2A (-0.45); CD24 (-0.38); TH (-0.29); PTN (-0.19); HAND2 (-0.17)
93,Kameneva,ITM2B,Gene,2.869,1.126,RPL10 (+0.20); RPL12 (+0.19); EDNRB (+0.16); B2M (+0.12); RPS2 (+0.11)
94,Kameneva,PPIA,Gene,2.688,1.356,MEG3 (+0.51); CHGA (+0.27); POSTN (+0.15); BASP1 (-0.10); GAPDH (+0.10)
95,Kameneva,RPL32,Gene,2.255,1.965,RGS4 (-0.67); IFITM3 (-0.31); HTATSF1 (-0.30); HAND2-AS1 (-0.23); HMGN2 (-0.22)
96,Kameneva,RPL12,Gene,2.018,1.363,MDK (-0.39); CRYAB (-0.25); POSTN (-0.21); NRXN1 (-0.20); PLP1 (-0.14)
97,Kameneva,RPL10,Gene,1.875,1.072,PTN (-0.54); APOE (-0.30); TH (-0.14); RPL32 (+0.09); TPM1 (-0.08)
98,Kameneva,RPS29,Gene,1.294,0.779,RGS5 (-0.27); APOE (-0.17); NPY (-0.16); CNTN1 (-0.09); NEFL (-0.07)
1,Schiebinger,Dox,Stimulus,59.088,4.007,Dmrtc2 (+3.64); Dppa5a (-3.08); Vcam1 (+2.26); Gm26917 (+2.18); Nme2 (+1.85)
2,Schiebinger,Fabp3,Gene,53.082,9.778,Dppa5a (+3.06); Mylpf (+2.74); Mybl2 (+2.07); Zfp42 (+1.77); Fmr1nb (+1.75)
3,Schiebinger,Dppa5a,Gene,47.204,5.487,Fmr1nb (+3.12); Vbp1 (+2.38); Msx2 (-2.28); Sox2 (+2.21); Obox6 (+2.16)
4,Schiebinger,S100a6,Gene,42.407,7.778,Dppa5a (-3.94); Hesx1 (-1.12); Zfp42 (-1.00); Cited2 (+0.87); Lncenc1 (-0.86)
5,Schiebinger,Mylpf,Gene,28.544,12.236,Lncenc1 (+2.90); Esrrb (+2.21); Hesx1 (+2.04); Zfp42 (+1.95); Dppa5a (+1.79)
6,Schiebinger,Gstp1,Gene,27.07,2.649,Gm26917 (+1.32); Gabarap (+1.20); Txnip (+1.06); Ypel3 (+1.02); Prss23 (+0.92)
7,Schiebinger,Serum,Stimulus,26.918,2.08,Tnfrsf12a (-2.86); Ereg (-2.38); AY036118 (+1.51); Gadd45b (-1.40); Snhg6 (-1.38)
8,Schiebinger,Cdkn2a,Gene,25.192,6.199,Cdkn2b (+1.05); Fos (+0.96); Gabarap (+0.91); Egr1 (+0.85); AY036118 (+0.81)
9,Schiebinger,Tnfrsf12a,Gene,25.18,5.143,Ereg (+1.85); Myc (+0.88); Gng12 (+0.78); Gm26917 (+0.74); S100a6 (+0.74)
10,Schiebinger,Xist,Gene,22.631,3.971,Ypel3 (-1.18); AY036118 (-1.06); Cyb5r3 (-0.96); Mrps24 (-0.91); Ggh (-0.85)
11,Schiebinger,Txnip,Gene,22.485,4.308,Nme2 (-1.74); Hist1h2ap (-1.39); Gstp1 (-1.13); 2810417H13Rik (-0.84); Bhlhe40 (+0.79)
