gene,species,match,matched_symbol,ortholog,mrna_half_life_h,mrna_source,mrna_neighbors,protein_half_life_h,protein_source,protein_neighbors,d0,d1,d0_assigned,d1_assigned
Nmt1,mouse,symbol,Nmt1,NMT1,9.169999999999998,measured,,64.54999999999998,measured,,0.07558856930860909,0.010738143773198226,0.5158578695407459,0.04448989076230869
Nr2f1,mouse,symbol,Nr2f1,NR2F1,4.1,measured,,7.629999999999999,measured,,0.1690602879414501,0.09084497779291552,0.5158578695407459,0.04448989076230869
Nupr1,mouse,symbol,Nupr1,NUPR1,9.462013756723952,estimated:ortholog+function,"ortholog: NUPR1 (human) | function: Mtch2 (0.19), Tigar (0.18), Hdac4 (0.17), Fis1 (0.16), Ncor1 (0.16), Atp5if1 (0.16), Trim32 (0.15), Ppp2ca (0.15)",51.01678435134006,estimated:function,"function: Mtch2 (0.19), Tigar (0.18), Hdac4 (0.17), Fis1 (0.16), Ncor1 (0.16), Atp5if1 (0.16), Trim32 (0.15), Ppp2ca (0.15)",0.07325577814420074,0.013586649754057625,0.5158578695407459,0.04448989076230869
Obox6,mouse,symbol,Obox6,,7.315818744860916,estimated:function,"function: Zfp280c (0.65), Rfx1 (0.61), Mafk (0.45), Nacc1 (0.44), Myef2 (0.44), Zfa-ps (0.43), Ubp1 (0.43), Zfp711 (0.42)",26.440927755811025,estimated:function,"function: Zfp280c (0.65), Rfx1 (0.61), Mafk (0.45), Nacc1 (0.44), Myef2 (0.44), Zfa-ps (0.43), Ubp1 (0.43), Zfp711 (0.42)",0.09474635782178922,0.026214934171801502,0.9248444092665025,0.06415210461981047
Ovol2,mouse,symbol,Ovol2,OVOL2,7.436620539387333,estimated:ortholog+function,"ortholog: OVOL2 (human) | function: Tead2 (0.25), Kdm2a (0.24), Gatad2a (0.22), Rbpj (0.21), Vezf1 (0.20), Junb (0.20), Nr2f2 (0.20), Smad2 (0.20)",19.480819500414956,estimated:function,"function: Tead2 (0.25), Kdm2a (0.24), Gatad2a (0.22), Rbpj (0.21), Vezf1 (0.20), Junb (0.20), Nr2f2 (0.20), Smad2 (0.20)",0.09320728103427614,0.03558100728489275,0.9248444092665025,0.06415210461981047
Pdgfb,mouse,symbol,Pdgfb,PDGFB,7.060924265074703,estimated:ortholog+function,"ortholog: PDGFB (human) | function: Egfr (0.18), Met (0.17), Notch2 (0.16), Map2k1 (0.15), Ilk (0.15), Iqgap1 (0.15), Src (0.15), Cd34 (0.15)",33.68720161070733,estimated:function,"function: Flt1 (0.18), Egfr (0.18), Met (0.17), Notch2 (0.16), Map2k1 (0.15), Ilk (0.15), Iqgap1 (0.15), Src (0.15)",0.09816663577436233,0.020575979820764673,0.5653447483565089,0.05094086676690952
Pitx2,mouse,symbol,Pitx2,PITX2,4.98068191032095,estimated:ortholog+paralog_low+family+function,"ortholog: PITX2 (human) | paralog_low: Prrx2 (27%), Prrx1 (26%) | family: PRD class homeoboxes and pseudogenes: Prrx1,Prrx2 | function: Foxf1 (0.22), Rbpj (0.21), Prrx1 (0.20), Nr2f2 (0.18), Foxf2 (0.18), Ctcf (0.18), Notch2 (0.18), Rbm15 (0.17)",9.35333006605944,estimated:paralog_low+family+function,"paralog_low: Prrx2 (27%), Prrx1 (26%) | family: PRD class homeoboxes and pseudogenes: Prrx1,Prrx2 | function: Foxf1 (0.22), Rbpj (0.21), Prrx1 (0.20), Nr2f2 (0.18), Foxf2 (0.18), Ctcf (0.18), Notch2 (0.18), Rbm15 (0.17)",0.13916712471109796,0.07410699458529516,0.5653447483565089,0.05094086676690952
Pou3f1,mouse,symbol,Pou3f1,POU3F1,5.679837209314517,estimated:ortholog+function,"ortholog: POU3F1 (human) | function: Zfp148 (0.43), Nfic (0.40), Etv6 (0.39), Nkrf (0.38), Mafk (0.38), Atf7 (0.37), Nr2f1 (0.37), Myef2 (0.35)",28.573628917194938,estimated:function,"function: Zfp148 (0.43), Nfic (0.40), Etv6 (0.39), Nkrf (0.38), Mafk (0.38), Atf7 (0.37), Nr2f1 (0.37), Elf2 (0.36)",0.12203645192915648,0.024258283138226998,0.5653447483565089,0.05094086676690952
Pparg,mouse,symbol,Pparg,PPARG,9.366723539572483,estimated:ortholog+function,"ortholog: PPARG (human) | function: Smad3 (0.18), Rela (0.17), Hdac1 (0.17), Smad4 (0.16), Stat3 (0.16), Nr3c1 (0.16), Creb1 (0.16), Ptpn2 (0.15)",43.99080727550046,estimated:function,"function: Smad3 (0.18), Rela (0.17), Hdac1 (0.17), Smad4 (0.16), Stat3 (0.16), Nr3c1 (0.16), Creb1 (0.16), Ptpn2 (0.15)",0.07400102902915207,0.015756636976879842,0.5653447483565089,0.05094086676690952
Prkcdbp,mouse,synonym,Cavin3,CAVIN3,9.909999999999998,measured,,106.58999999999999,measured,,0.0699442159999945,0.006502928797822923,0.5653447483565089,0.05094086676690952
Prr5,mouse,symbol,Prr5,PRR5,8.566782745078513,estimated:ortholog+family+function,"ortholog: PRR5 (human) | family: MTOR complex 2: Rictor,Mtor,Mapkap1 | function: Rictor (0.27), Mob2 (0.27), Mydgf (0.27), Mapkap1 (0.24), Arhgap10 (0.21), Araf (0.21), Magi3 (0.20), Iqgap3 (0.20)",45.041017300679414,estimated:family+function,"family: MTOR complex 2: Rictor,Mtor,Mapkap1 | function: Rictor (0.27), Mob2 (0.27), Mydgf (0.27), Mapkap1 (0.24), Arhgap10 (0.21), Araf (0.21), Magi3 (0.20), Iqgap3 (0.20)",0.08091102589920912,0.015389243451867807,0.5653447483565089,0.05094086676690952
Prss23,mouse,symbol,Prss23,PRSS23,13.265609751206256,estimated:ortholog+family+function,"ortholog: PRSS23 (human) | family: Serine proteases: Steap1,Lonp1,Plau | function: Clpp (0.35), Mipep (0.31), Sec11c (0.31), Sec11a (0.31), Dpp7 (0.30), Scrn2 (0.29), Pitrm1 (0.28), Scpep1 (0.25)",71.11035032655523,estimated:ortholog+family+function,"ortholog: PRSS23 (human) | family: Serine proteases: Steap1,Lonp1,Plau | function: Clpp (0.35), Tpp2 (0.31), Mipep (0.31), Sec11c (0.31), Sec11a (0.31), Dpp7 (0.30), Scrn2 (0.29), Pitrm1 (0.28)",0.052251437631573375,0.009747486510428546,0.5653447483565089,0.05094086676690952
Psme1,mouse,symbol,Psme1,PSME1,15.58,measured,,313.47999999999996,measured,,0.04448954945827634,0.0022111368526220028,0.5653447483565089,0.05094086676690952
Rala,mouse,symbol,Rala,RALA,16.060000000000002,measured,,40.39,measured,,0.04315984934993432,0.017161356290169478,0.3296343845487389,0.052184866271116535
S100a1,mouse,symbol,S100a1,S100A1,11.081854240382057,estimated:paralog_mid+family+function,"paralog_mid: S100a4 (46%), S100a10 (45%), S100a6 (44%), S100a11 (39%), S100a13 (35%) | family: S100 calcium binding proteins: S100a13,S100a4,S100a11,S100a6,S100a10 | function: Dnajb4 (0.21), Nipsnap2 (0.20), Sri (0.18), Pkm (0.17), Foxk2 (0.16), Foxk1 (0.16), Ola1 (0.16), Stim1 (0.16)",68.88637534236491,estimated:paralog_mid+family+function,"paralog_mid: S100a4 (46%), S100a10 (45%), S100a6 (44%), S100a11 (39%), S100a13 (35%) | family: S100 calcium binding proteins: S100a13,S100a4,S100a11,S100a6,S100a10 | function: Dnajb4 (0.21), Nipsnap2 (0.20), Sri (0.18), Pkm (0.17), Foxk2 (0.16), Foxk1 (0.16), Ola1 (0.16), Stim1 (0.16)",0.06254794238622366,0.01006218104980858,0.7520475486901874,0.08378932373042555
S100a6,mouse,symbol,S100a6,S100A6,18.46,measured,,93.17999999999998,measured,,0.03754860133044124,0.007438797816698277,0.7520475486901874,0.08378932373042555
Scand1,mouse,symbol,Scand1,SCAND1,9.047074935722677,estimated:ortholog+function,"ortholog: SCAND1 (human) | function: Ankrd49 (1.00), Edrf1 (1.00), Mycbp (0.64), Ssbp4 (0.59), Ilf2 (0.56), Ssbp2 (0.53), Ptms (0.49), Cebpz (0.48)",39.28639644352145,estimated:function,"function: Ankrd49 (1.00), Edrf1 (1.00), Mycbp (0.64), Ssbp4 (0.59), Ilf2 (0.56), Ssbp2 (0.53), Ptms (0.49), Cebpz (0.48)",0.07661561172916018,0.017643440053261725,0.7159654729243236,0.04790584711592506
Sdc4,mouse,symbol,Sdc4,SDC4,10.645522220074835,estimated:ortholog+paralog_low+family+function,"ortholog: SDC4 (human) | paralog_low: Sdc2 (36%), Sdc1 (26%) | family: Syndecans: Sdc1,Sdc2 | function: Glmn (0.27), S100a10 (0.21), Tsc1 (0.21), Scrib (0.21), Vasp (0.20), Pxn (0.20), Ppm1f (0.19), Dlg5 (0.19)",16.504488571099387,estimated:paralog_low+family+function,"paralog_low: Sdc2 (36%), Sdc1 (26%) | family: Syndecans: Sdc1,Sdc2 | function: Glmn (0.27), S100a10 (0.21), Tsc1 (0.21), Scrib (0.21), Vasp (0.20), Pxn (0.20), Ppm1f (0.19), Dlg5 (0.19)",0.06511161840917867,0.04199749526160409,0.7159654729243236,0.04790584711592506
Shisa8,mouse,symbol,Shisa8,SHISA8,10.734886655949436,estimated:ortholog+function,"ortholog: SHISA8 (human) | function: Mpp2 (0.26), Strn (0.19), Palm (0.18), Ppp1r2 (0.16), Ncdn (0.15), Sipa1l1 (0.15), Syap1 (0.15), Mob4 (0.15)",41.81018581906374,estimated:function,"function: Mpp2 (0.26), Strn (0.19), Palm (0.18), Ppp1r2 (0.16), Ncdn (0.15), Sipa1l1 (0.15), Syap1 (0.15), Mob4 (0.15)",0.06456958538782454,0.01657842860492379,0.7159654729243236,0.04790584711592506
Snhg6,mouse,symbol,Snhg6,SNHG6,12.823295431776804,estimated:ortholog,ortholog: SNHG6 (human),47.91,global_median,,0.05405374805935531,0.01446769318639001,0.7159654729243236,0.04790584711592506
Snhg9,mouse,symbol,Snhg9,SNHG9,9.07244307614682,estimated:ortholog,ortholog: SNHG9 (human),47.91,global_median,,0.07640138105494,0.01446769318639001,0.7159654729243236,0.04790584711592506
Sox2,mouse,symbol,Sox2,SOX2,5.508807313907194,estimated:ortholog+function,"ortholog: SOX2 (human) | function: Prrx1 (0.20), Hmga2 (0.20), Cdc73 (0.19), Hdac1 (0.18), Foxf2 (0.18), Arid1a (0.18), Nfib (0.17), Ncoa3 (0.17)",29.92129429440498,estimated:function,"function: Prrx1 (0.20), Hmga2 (0.20), Cdc73 (0.19), Hdac1 (0.18), Foxf2 (0.18), Arid1a (0.18), Nfib (0.17), Ncoa3 (0.17)",0.12582527234344698,0.023165681729535266,0.7159654729243236,0.04790584711592506
